"Computername","HotFixID","Description","InstalledBy","Installed","Online","ReportDate"
"DOM1","KB4470502","Update","","1/8/2019 12:00:00 AM","http://support.microsoft.com/?kbid=4470502","4/27/2022 6:44:17 PM"
"DOM1","KB4470788","Security Update","","1/8/2019 12:00:00 AM","http://support.microsoft.com/?kbid=4470788","4/27/2022 6:44:17 PM"
"DOM1","KB5011574","Update","NT AUTHORITY\SYSTEM","4/21/2022 12:00:00 AM","","4/27/2022 6:44:17 PM"
"DOM1","KB5012128","Update","NT AUTHORITY\SYSTEM","4/22/2022 12:00:00 AM","http://support.microsoft.com/?kbid=5012128","4/27/2022 6:44:17 PM"
"DOM1","KB5012647","Security Update","NT AUTHORITY\SYSTEM","4/22/2022 12:00:00 AM","https://support.microsoft.com/help/5012647","4/27/2022 6:44:17 PM"
"DOM2","KB4470502","Update","","1/8/2019 12:00:00 AM","http://support.microsoft.com/?kbid=4470502","4/27/2022 6:44:17 PM"
"DOM2","KB4470788","Security Update","","1/8/2019 12:00:00 AM","http://support.microsoft.com/?kbid=4470788","4/27/2022 6:44:17 PM"
"DOM2","KB4480116","Security Update","","1/8/2019 12:00:00 AM","http://support.microsoft.com/?kbid=4480116","4/27/2022 6:44:17 PM"
"SRV1","KB3192137","Update","","9/12/2016 12:00:00 AM","http://support.microsoft.com/?kbid=3192137","4/27/2022 6:44:17 PM"
"SRV1","KB3211320","Update","","1/7/2017 12:00:00 AM","http://support.microsoft.com/?kbid=3211320","4/27/2022 6:44:17 PM"
"SRV1","KB5011570","Security Update","NT AUTHORITY\SYSTEM","4/21/2022 12:00:00 AM","https://support.microsoft.com/help/5011570","4/27/2022 6:44:17 PM"
"SRV1","KB4103720","Update","NT AUTHORITY\SYSTEM","4/22/2022 12:00:00 AM","http://support.microsoft.com/?kbid=4103720","4/27/2022 6:44:17 PM"
"SRV2","KB3192137","Update","","9/12/2016 12:00:00 AM","http://support.microsoft.com/?kbid=3192137","4/27/2022 6:44:17 PM"
"SRV2","KB3211320","Update","","1/7/2017 12:00:00 AM","http://support.microsoft.com/?kbid=3211320","4/27/2022 6:44:17 PM"
"SRV2","KB5011570","Security Update","NT AUTHORITY\SYSTEM","4/21/2022 12:00:00 AM","https://support.microsoft.com/help/5011570","4/27/2022 6:44:17 PM"
"SRV2","KB4103720","Update","NT AUTHORITY\SYSTEM","4/22/2022 12:00:00 AM","http://support.microsoft.com/?kbid=4103720","4/27/2022 6:44:17 PM"
